No;ER;CPI;PPI;covid
2017-03;1.292505523;5.142240318;5.095538505;0
2017-04;1.267961174;5.155227302;5.067775708;0
2017-05;1.271851055;5.159680072;5.099103571;0
2017-06;1.255701504;5.157004334;5.020147659;0
2017-07;1.261977527;5.158488157;5.088370016;0
2017-08;1.236662622;5.163664269;5.099103571;0
2017-09;1.268439448;5.170152713;5.071440954;0
2017-10;1.327976452;5.190712181;5.200541814;0
2017-11;1.374753015;5.205520841;5.194090179;0
2017-12;1.32847985;5.212355174;5.234264715;0
2018-01;1.330490911;5.222504769;5.059170861;0
2018-02;1.331494927;5.229794836;5.022711763;0
2018-03;1.37433564;5.239680678;5.158960332;0
2018-04;1.400480757;5.258230808;5.10972314;0
2018-05;1.501273469;5.27432098;5.162306682;0
2018-06;1.528770009;5.300109482;5.040478728;0
2018-07;1.587069597;5.305605764;5.160077026;0
2018-08;1.858179033;5.328300564;4.979539591;0
2018-09;1.791025867;5.389440235;5.108548742;0
2018-10;1.709337545;5.415776483;5.152233849;0
2018-11;1.642785644;5.401242183;5.121391884;0
2018-12;1.661204595;5.39718826;5.129479739;0
2019-01;1.664465725;5.407769835;4.980875597;0
2019-02;1.666810192;5.409376301;4.971485857;0
2019-03;1.728730919;5.419606953;5.112067807;0
2019-04;1.780622685;5.436396279;5.097916628;0
2019-05;1.779830265;5.445847847;5.161192475;0
2019-06;1.750980877;5.44611382;4.939997971;0
2019-07;1.718462706;5.459585514;5.156723194;0
2019-08;1.761171387;5.468135823;4.962007113;0
2019-09;1.734165667;5.478019651;5.149981596;0
2019-10;1.747711792;5.4978434;5.178872494;0
2019-11;1.74841694;5.50164708;5.161192475;0
2019-12;1.782643041;5.509052411;5.224894526;1
2020-01;1.78791877;5.522469378;5.054220356;1
2020-02;1.829617074;5.52597984;5.078731387;1
2020-03;1.875158078;5.531677608;5.102655973;1
2020-04;1.943764993;5.540185852;4.725164717;1
2020-05;1.919844809;5.553715374;4.798286982;1
2020-06;1.924007747;5.564984193;5.102655973;1
2020-07;1.937798769;5.570806128;5.149981596;1
2020-08;1.989462128;5.57941249;5.112067807;1
2020-09;2.056051362;5.589098611;5.256806653;1
2020-10;2.118145294;5.610186072;5.270891393;1
2020-11;2.054706897;5.632906024;5.244574084;1
2020-12;1.994305678;5.645324087;5.340350356;1
2021-01;1.99172992;5.662002435;5.134072169;1
2021-02;1.99842805;5.671039985;5.1363605;1
2021-03;2.120283536;5.681736301;5.288713647;1
2021-04;2.102016059;5.698386778;5.231151064;1
2021-05;2.146790563;5.707233166;5.144328669;1
2021-06;2.164816163;5.726467897;5.315820824;1
2021-07;2.130782022;5.744353317;5.134072169;1
2021-08;2.126181988;5.755486746;5.286749009;1
2021-09;2.180558692;5.767935552;5.339417955;1
2021-10;2.250222806;5.791590744;5.323432659;1
2021-11;2.539308026;5.826105926;5.377849034;1
2021-12;2.564118243;5.953403475;5.46216378;1
2022-01;2.611454863;6.058701393;5.1973212;1
2022-02;2.642775409;6.10566619;5.251727922;1
2022-03;2.685054481;6.158867829;5.365202072;1
2022-04;2.694525824;6.228844838;5.319633984;1
2022-05;2.795508423;6.258217237;5.249689185;1
2022-06;2.814453173;6.306549381;5.392994089;1
2022-07;2.885359216;6.329926715;5.158960332;1
2022-08;2.900385343;6.344426046;5.325326599;1
2022-09;2.918875527;6.374721109;5.340350356;1
2022-10;2.923416924;6.409555148;5.351471879;1
2022-11;2.924813441;6.437984806;5.360646256;1
2022-12;2.929333356;6.449742255;5.470380753;1
2023-01;2.934098862;6.514114605;5.262867277;1
2023-02;2.938113754;6.54508063;5.160077026;1
2023-03;2.952991773;6.567717276;5.36883184;1
2023-04;2.967553968;6.591292278;5.215435707;1
2023-05;3.012033681;6.591722941;5.358818102;1
2023-06;3.252169392;6.630178922;5.283794798;1
2023-07;3.294489663;6.720831219;5.337550541;1
2023-08;3.280920614;6.807804866;5.358818102;1
2023-09;3.310592282;6.854240969;5.381433267;1
2023-10;3.340376386;6.888004332;5.406169511;1
2023-11;3.363343201;6.920288516;5.378746297;1
2023-12;3.383194634;6.949140344;5.464635969;1
2024-01;3.412223042;7.014022334;5.277860062;1
2024-02;3.438753248;7.058318494;5.300421097;1
